Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Illinois,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Iowa,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Kansas,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Michigan,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Minnesota,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Missouri,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Nebraska,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,North Dakota,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Ohio,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,South Dakota,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Texas,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Wisconsin,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,Other States,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2008,U.S.,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Illinois,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Iowa,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Kansas,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Michigan,13
