Year,State,Agri GDP
2011,Kentucky,2229.30
2011,Louisiana,1904.80
2011,Maine,844.70
2011,Maryland,985.80
2011,Massachusetts,1007.10
2011,Michigan,4309.50
2011,Minnesota,7208.70
2011,Mississippi,1847.10
2011,Missouri,4169.60
2011,Montana,1694.70
2011,Nebraska,9840.80
2011,Nevada,384.30
2011,New Hampshire,190.50
2011,New Jersey,840.10
2011,New Mexico,1622.60
2011,New York,3209.10
2011,North Carolina,3951.20
2011,North Dakota,3148.80
2011,Ohio,4578.70
2011,Oklahoma,2813.60
2011,Oregon,3559.00
2011,Pennsylvania,3682.60
2011,Rhode Island,111.70
2011,South Carolina,1160.10
2011,South Dakota,5089.20
2011,Tennessee,1757.90
2011,Texas,8716.80
2011,Utah,803.70
2011,Vermont,497.50
2011,Virginia,1828.30
2011,Washington,7212.30
2011,West Virginia,304.20
2011,Wisconsin,5355.00
2011,Wyoming,819.70
2011,New England,3038.70
2011,Mideast,9100.90
2011,Great Lakes,27130.30
2011,Plains,46916.20
2011,Southeast,28869.90
2011,Southwest,15636.20
2011,Rocky Mountain,9752.50
2012,Far West,45963.00
2012,United States,179573.00
2012,Alabama,1802.20
2012,Alaska,497.50
2012,Arizona,1903.90
2012,Arkansas,2573.50
2012,California,34377.20
2012,Colorado,2559.70
2012,Connecticut,409.30
2012,Delaware,417.00
2012,District of Columbia,0.40
2012,Florida,6682.80
2012,Georgia,4205.80
2012,Hawaii,536.20
2012,Idaho,3444.60
2012,Illinois,5911.10
2012,Indiana,4087.70
2012,Iowa,10520.50
2012,Kansas,5402.20
2012,Kentucky,2112.10
2012,Louisiana,2101.70
2012,Maine,828.60
2012,Maryland,1044.00
2012,Massachusetts,1009.60
2012,Michigan,3286.10
2012,Minnesota,8746.50
2012,Mississippi,1902.10
2012,Missouri,3341.10
2012,Montana,1834.40
2012,Nebraska,7575.10
2012,Nevada,294.80
2012,New Hampshire,221.90
2012,New Jersey,824.30
2012,New Mexico,1416.40
2012,New York,2872.80
2012,North Carolina,4602.40
2012,North Dakota,4959.30
2012,Ohio,3762.90
2012,Oklahoma,3057.50
2012,Oregon,3690.40
2012,Pennsylvania,3705.00
2012,Rhode Island,102.50
2012,South Carolina,1188.10
2012,South Dakota,4278.60
2012,Tennessee,1356.60
2012,Texas,8217.60
2012,Utah,718.30
2012,Vermont,445.70
2012,Virginia,1679.80
2012,Washington,7291.40
2012,West Virginia,264.60
2012,Wisconsin,4945.80
2012,Wyoming,562.40
2012,New England,3017.70
2012,Mideast,8863.50
2012,Great Lakes,21993.60
2012,Plains,44823.20
2012,Southeast,30471.50
2012,Southwest,14595.40
2012,Rocky Mountain,9119.40
2013,Far West,46687.60
2013,United States,209388.00
2013,Alabama,3018.80
2013,Alaska,486.90
2013,Arizona,2287.30
2013,Arkansas,3761.10
2013,California,36815.40
2013,Colorado,2587.10
2013,Connecticut,415.00
2013,Delaware,565.50
2013,District of Columbia,0.40
2013,Florida,6229.10
2013,Georgia,4263.80
2013,Hawaii,504.30
2013,Idaho,3691.20
2013,Illinois,10610.30
2013,Indiana,7088.10
2013,Iowa,12566.70
2013,Kansas,7111.20
2013,Kentucky,3798.70
2013,Louisiana,2311.00
2013,Maine,799.10
2013,Maryland,1219.40
2013,Massachusetts,858.80
2013,Michigan,3829.30
2013,Minnesota,8508.90
2013,Mississippi,3202.80
2013,Missouri,4651.60
2013,Montana,2081.10
2013,Nebraska,9876.10
2013,Nevada,302.00
2013,New Hampshire,221.60
2013,New Jersey,776.80
2013,New Mexico,1384.50
2013,New York,3232.40
2013,North Carolina,5082.30
2013,North Dakota,3470.10
2013,Ohio,4890.30
2013,Oklahoma,2980.70
2013,Oregon,3879.90
2013,Pennsylvania,4023.20
2013,Rhode Island,97.50
2013,South Carolina,1415.70
2013,South Dakota,5182.70
2013,Tennessee,2042.40
2013,Texas,10581.60
2013,Utah,945.00
2013,Vermont,490.60
2013,Virginia,1880.10
2013,Washington,7062.30
2013,West Virginia,317.50
2013,Wisconsin,5276.70
2013,Wyoming,700.00
2013,New England,2882.10
2013,Mideast,9817.50
2013,Great Lakes,31693.40
2013,Plains,51368.30
2013,Southeast,37322.50
2013,Southwest,17235.00
2013,Rocky Mountain,10004.30
2014,Far West,49050.30
2014,United States,211758.00
2014,Alabama,2630.90
2014,Alaska,456.50
2014,Arizona,2220.80
2014,Arkansas,3557.00
2014,California,42489.20
2014,Colorado,2878.00
2014,Connecticut,371.60
2014,Delaware,689.60
2014,District of Columbia,0.40
2014,Florida,6652.70
2014,Georgia,3963.20
2014,Hawaii,496.80
2014,Idaho,4221.40
2014,Illinois,8332.20
2014,Indiana,5768.10
2014,Iowa,12102.20
2014,Kansas,5334.50
2014,Kentucky,3320.00
2014,Louisiana,2049.50
2014,Maine,823.30
2014,Maryland,1182.50
2014,Massachusetts,692.10
2014,Michigan,3678.50
2014,Minnesota,7896.80
2014,Mississippi,2672.90
2014,Missouri,5449.60
2014,Montana,2213.00
2014,Nebraska,9408.30
2014,Nevada,416.10
2014,New Hampshire,227.30
2014,New Jersey,786.30
2014,New Mexico,1709.70
2014,New York,3622.10
2014,North Carolina,5822.60
2014,North Dakota,3231.50
2014,Ohio,4652.90
2014,Oklahoma,3660.00
2014,Oregon,4174.20
2014,Pennsylvania,4829.90
2014,Rhode Island,97.20
2014,South Carolina,1138.00
2014,South Dakota,4632.50
2014,Tennessee,1718.40
2014,Texas,11000.00
2014,Utah,1121.70
2014,Vermont,605.50
2014,Virginia,2030.00
2014,Washington,7367.70
2014,West Virginia,354.30
2014,Wisconsin,6047.80
2014,Wyoming,810.40
2014,New England,2811.70
2014,Mideast,11110.60
2014,Great Lakes,28486.90
2014,Plains,48059.00
2014,Southeast,35917.20
2014,Southwest,18585.40
2014,Rocky Mountain,11244.50
2015,Far West,55389.00
2015,United States,227217.00
2015,Alabama,3261.20
2015,Alaska,426.30
2015,Arizona,2833.80
2015,Arkansas,3509.00
2015,California,45749.70
2015,Colorado,3521.00
2015,Connecticut,463.10
2015,Delaware,631.60
2015,District of Columbia,0.50
2015,Florida,8198.40
2015,Georgia,5395.80
2015,Hawaii,607.70
2015,Idaho,4567.70
2015,Illinois,5696.30
2015,Indiana,4771.10
2015,Iowa,11952.70
2015,Kansas,5399.40
2015,Kentucky,3704.80
2015,Louisiana,1979.00
2015,Maine,984.80
2015,Maryland,1207.50
2015,Massachusetts,766.60
2015,Michigan,4040.80
2015,Minnesota,8147.10
2015,Mississippi,2721.10
2015,Missouri,4096.80
2015,Montana,2550.10
2015,Nebraska,10449.00
2015,Nevada,395.10
2015,New Hampshire,264.70
2015,New Jersey,1013.40
2015,New Mexico,1686.20
2015,New York,3361.40
2015,North Carolina,6299.40
2015,North Dakota,3389.60
2015,Ohio,3872.60
2015,Oklahoma,4003.90
2015,Oregon,4813.80
2015,Pennsylvania,4530.80
2015,Rhode Island,118.00
2015,South Carolina,1268.20
2015,South Dakota,4871.70
2015,Tennessee,2078.80
2015,Texas,15607.40
2015,Utah,1281.40
2015,Vermont,546.60
2015,Virginia,2207.50
2015,Washington,9405.30
2015,West Virginia,386.30
2015,Wisconsin,6745.80
2015,Wyoming,913.40
2015,New England,3145.90
2015,Mideast,10754.20
2015,Great Lakes,25162.80
2015,Plains,48297.10
2015,Southeast,41049.10
2015,Southwest,24148.40
2015,Rocky Mountain,12833.40
2016,Far West,61396.00
2016,United States,238834.00
2016,Alabama,2835.10
2016,Alaska,371.80
2016,Arizona,3552.80
2016,Arkansas,3444.40
2016,California,50398.80
2016,Colorado,3826.80
2016,Connecticut,462.60
2016,Delaware,656.40
2016,District of Columbia,0.80
2016,Florida,8251.40
2016,Georgia,5203.70
2016,Hawaii,613.00
