"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Farms (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"92000","Mideast",5353.6,6250.0,6860.0,8478.4,7883.8,6986.8,7593.7,8312.2,9447.0,9560.5,7967.1,8129.1,8915.8,8874.1,7909.6,7625.2,8642.0,9870.9,9373.3,9404.1,10407.3,9802.7,11289.2
"93000","Great Lakes",16177.4,14620.6,12359.2,14958.0,14306.4,15827.0,17696.2,21353.6,17683.2,21264.7,20182.8,22784.2,23829.2,22387.1,25473.8,20173.7,29908.5,26415.9,22795.6,26844.7,26677.1,30283.6,26047.0
"94000","Plains",24279.9,21805.3,17644.0,21974.3,20416.8,23455.7,29542.4,33390.1,33564.5,33047.9,32640.6,40085.1,43891.9,40466.1,45032.2,42747.2,49378.9,46057.2,46178.8,49344.6,44390.1,49020.5,49443.2
"95000","Southeast",28008.4,27369.0,28547.2,34592.7,32541.5,27473.4,30194.5,34067.0,37225.0,34958.7,25861.8,25364.8,32516.5,28043.1,21865.3,23207.1,30383.0,28789.1,33809.7,33083.0,36626.4,35459.1,30894.4
"96000","Southwest",11866.5,11536.4,14323.0,15568.3,14178.3,16872.5,17300.3,18376.3,19123.1,16442.3,13966.4,11263.1,11317.8,16515.3,13327.4,12224.3,15047.4,16337.1,21908.1,20606.5,20577.4,21479.4,21150.0
"97000","Rocky Mountain",5554.2,5933.2,6771.1,7258.8,7637.9,7514.1,6837.4,8027.6,9075.6,8592.5,8098.8,8168.4,8763.5,8997.0,8688.0,8017.5,8893.9,10125.2,11700.4,12755.6,10233.9,12141.2,14472.9
"98000","Far West",25466.8,24912.8,28548.6,33268.3,29284.0,33579.2,34184.0,34465.1,40605.8,39593.2,34142.2,30759.8,39365.7,37692.7,33513.7,33263.3,35819.7,42309.8,47825.9,53365.0,50690.0,51370.0,52953.6
"Legend / Footnotes:"
"1/ Real GDP is in millions of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"Last updated: October 2, 2020-- revised statistics for 1997-2019."
